Gerakladium172322_c0_g1_i1	Gerakladium172322
Gerakladium192974_c0_g1_i1	Gerakladium192974
Gerakladium192919_c0_g1_i1	Gerakladium192919
Gerakladium192924_c0_g1_i1	Gerakladium192924
Gerakladium192962_c0_g1_i1	Gerakladium192962
Gerakladium192972_c0_g1_i1	Gerakladium192972
Gerakladium120192_c0_g1_i1	Gerakladium120192
Gerakladium120120_c0_g1_i1	Gerakladium120120
Gerakladium120180_c0_g1_i1	Gerakladium120180
Gerakladium120115_c0_g1_i1	Gerakladium120115
Gerakladium107123_c0_g1_i1	Gerakladium107123
Gerakladium118220_c0_g1_i1	Gerakladium118220
Gerakladium118282_c0_g1_i1	Gerakladium118282
Gerakladium118287_c0_g1_i1	Gerakladium118287
Gerakladium118286_c0_g1_i1	Gerakladium118286
Gerakladium118213_c0_g1_i1	Gerakladium118213
Gerakladium118254_c0_g1_i1	Gerakladium118254
Gerakladium118217_c0_g1_i1	Gerakladium118217
Gerakladium118238_c0_g1_i1	Gerakladium118238
Gerakladium118216_c0_g1_i1	Gerakladium118216
Gerakladium118259_c0_g1_i1	Gerakladium118259
Gerakladium118260_c0_g1_i1	Gerakladium118260
Gerakladium118294_c0_g1_i1	Gerakladium118294
Gerakladium114757_c0_g1_i1	Gerakladium114757
Gerakladium114782_c0_g1_i1	Gerakladium114782
Gerakladium114705_c0_g1_i1	Gerakladium114705
Gerakladium114758_c0_g1_i1	Gerakladium114758
Gerakladium114787_c0_g1_i1	Gerakladium114787
Gerakladium114759_c0_g1_i1	Gerakladium114759
Gerakladium114795_c0_g1_i1	Gerakladium114795
Gerakladium114741_c0_g1_i1	Gerakladium114741
Gerakladium114794_c0_g1_i1	Gerakladium114794
Gerakladium114704_c0_g1_i1	Gerakladium114704
Gerakladium114720_c0_g1_i1	Gerakladium114720
Gerakladium114735_c0_g1_i1	Gerakladium114735
Gerakladium114706_c0_g1_i1	Gerakladium114706
Gerakladium114734_c0_g1_i1	Gerakladium114734
Gerakladium114796_c0_g1_i1	Gerakladium114796
Gerakladium183837_c0_g1_i1	Gerakladium183837
Gerakladium158933_c0_g1_i1	Gerakladium158933
Gerakladium158926_c0_g1_i1	Gerakladium158926
Gerakladium158902_c0_g1_i1	Gerakladium158902
Gerakladium158901_c0_g1_i1	Gerakladium158901
Gerakladium158956_c0_g1_i1	Gerakladium158956
Gerakladium198899_c0_g1_i1	Gerakladium198899
Gerakladium198872_c0_g1_i1	Gerakladium198872
Gerakladium115443_c0_g1_i1	Gerakladium115443
Gerakladium115421_c0_g1_i1	Gerakladium115421
Gerakladium115442_c0_g1_i1	Gerakladium115442
Gerakladium115448_c0_g1_i1	Gerakladium115448
Gerakladium115500_c0_g1_i1	Gerakladium115500
Gerakladium115420_c0_g1_i1	Gerakladium115420
Gerakladium115464_c0_g1_i1	Gerakladium115464
Gerakladium115489_c0_g1_i1	Gerakladium115489
Gerakladium115459_c0_g1_i1	Gerakladium115459
Gerakladium115419_c0_g1_i1	Gerakladium115419
Gerakladium115409_c0_g1_i1	Gerakladium115409
Gerakladium115403_c0_g1_i1	Gerakladium115403
Gerakladium115416_c0_g1_i1	Gerakladium115416
Gerakladium115415_c0_g1_i1	Gerakladium115415
Gerakladium115407_c0_g1_i1	Gerakladium115407
Gerakladium115438_c0_g1_i1	Gerakladium115438
Gerakladium115455_c0_g1_i1	Gerakladium115455
Gerakladium115483_c0_g1_i1	Gerakladium115483
Gerakladium115488_c0_g1_i1	Gerakladium115488
Gerakladium115485_c0_g1_i1	Gerakladium115485
Gerakladium115497_c0_g1_i1	Gerakladium115497
Gerakladium119811_c0_g1_i1	Gerakladium119811
Gerakladium119819_c0_g1_i1	Gerakladium119819
Gerakladium119808_c0_g1_i1	Gerakladium119808
Gerakladium119877_c0_g1_i1	Gerakladium119877
Gerakladium119881_c0_g1_i1	Gerakladium119881
Gerakladium119813_c0_g1_i1	Gerakladium119813
Gerakladium119845_c0_g1_i1	Gerakladium119845
Gerakladium119898_c0_g1_i1	Gerakladium119898
Gerakladium173889_c0_g1_i1	Gerakladium173889
Gerakladium173858_c0_g1_i1	Gerakladium173858
Gerakladium173802_c0_g1_i1	Gerakladium173802
Gerakladium173872_c0_g1_i1	Gerakladium173872
Gerakladium173888_c0_g1_i1	Gerakladium173888
Gerakladium173879_c0_g1_i1	Gerakladium173879
